Latitude,Longitude,Soil Type,Temperature (°C),Humidity (%),Month,Recommended Crop
30.8661,75.5805,Laterite,32.3,54,April,Maize
31.2886,75.7576,Laterite,26.6,68,April,Maize
31.5721,75.3546,Forest,26.6,31,April,Vegetables
30.6511,75.8163,Arid,17.8,42,April,Rice
31.0098,74.9576,Forest,31.4,42,April,Millets
31.2092,75.6437,Forest,18.6,58,May,Pulses
30.7439,75.5368,Arid,33.7,77,May,Maize
30.9363,75.7325,Forest,39.1,36,May,Rice
31.6031,75.4664,Forest,31.5,85,May,Cotton
31.26,75.8364,Alluvial,24.7,83,May,Vegetables
31.6391,75.441,Laterite,38.0,44,May,Fruits
31.5809,75.1497,Forest,21.6,89,May,Wheat
31.386,75.1755,Black,24.5,72,May,Pulses
31.4912,75.6045,Arid,19.9,52,May,Millets
31.6375,75.6502,Black,24.1,42,May,Millets
31.408,75.7719,Red,29.6,49,May,Millets
30.7353,75.6338,Saline,22.8,51,May,Maize
31.0342,75.6292,Arid,17.3,73,May,Rice
31.5817,75.1229,Peaty,26.0,51,May,Millets
31.3128,75.4708,Peaty,28.9,89,May,Sugarcane
30.8127,75.6077,Black,20.7,87,May,Millets
31.6259,75.5836,Peaty,37.6,78,May,Sugarcane
30.8313,75.472,Red,39.3,67,May,Wheat
31.4185,75.739,Arid,19.4,82,May,Pulses
30.6726,75.2333,Peaty,36.8,69,May,Rice
31.5168,74.983,Alluvial,18.9,55,May,Sugarcane
31.0893,75.0189,Saline,38.3,35,May,Fruits
31.3781,75.6606,Red,18.6,43,May,Rice
30.9591,75.5517,Arid,26.7,69,May,Wheat
30.8532,75.806,Laterite,21.8,72,May,Wheat
30.8036,75.1381,Alluvial,26.5,46,June,Maize
30.6606,75.659,Black,16.1,51,June,Vegetables
30.6887,74.8811,Peaty,35.6,42,June,Millets
30.6804,75.4738,Laterite,37.7,62,June,Wheat
30.9386,75.683,Laterite,27.9,81,June,Pulses
31.2138,75.3778,Forest,37.2,74,June,Millets
30.937,74.9225,Laterite,31.5,55,June,Cotton
31.5214,75.4702,Peaty,36.4,40,June,Sugarcane
30.6749,75.3337,Alluvial,23.9,69,June,Rice
31.2422,75.8167,Forest,28.6,73,June,Millets
31.6191,75.5227,Alluvial,25.9,49,June,Rice
31.0006,75.0359,Alluvial,21.3,59,June,Fruits
30.9356,75.0274,Laterite,38.4,53,June,Rice
31.2333,75.7551,Peaty,31.5,67,June,Maize
31.1004,75.275,Red,24.2,56,June,Wheat
31.1434,74.9531,Forest,25.1,48,June,Vegetables
30.7634,75.2896,Peaty,28.6,85,June,Sugarcane
31.4769,75.1948,Saline,35.0,88,June,Pulses
31.3018,75.2902,Red,22.6,84,June,Rice
30.7753,75.2148,Forest,29.1,62,June,Maize
31.2144,75.0531,Peaty,30.4,83,June,Sugarcane
31.2602,75.807,Laterite,24.0,81,June,Fruits
31.3827,75.5293,Alluvial,35.7,86,June,Rice
31.014,74.8891,Peaty,23.8,82,June,Rice
31.2819,75.236,Peaty,26.2,65,June,Wheat
31.0938,75.2988,Alluvial,24.6,58,July,Wheat
30.8892,75.4805,Laterite,16.1,55,July,Rice
30.8202,74.9157,Peaty,34.8,60,July,Rice
30.9824,75.2932,Forest,27.2,72,July,Fruits
31.0749,75.4615,Laterite,23.5,58,July,Maize
30.9889,75.7759,Saline,36.2,36,July,Rice
30.8102,75.6121,Saline,37.9,49,July,Sugarcane
31.0189,75.0719,Forest,22.9,34,July,Fruits
31.5493,75.4668,Saline,22.0,83,July,Vegetables
30.6701,75.7257,Black,36.7,45,July,Millets
31.1558,75.2627,Saline,21.8,45,July,Cotton
31.5624,75.366,Saline,22.7,39,July,Vegetables
30.7554,74.8961,Black,15.2,82,July,Sugarcane
30.8935,75.7067,Arid,32.8,42,July,Pulses
31.55,75.605,Peaty,32.9,79,July,Sugarcane
31.4067,75.3073,Peaty,31.6,30,July,Pulses
30.894,75.2297,Black,35.3,38,July,Wheat
30.684,74.9261,Laterite,33.3,57,July,Cotton
31.3289,75.2312,Saline,22.2,53,July,Sugarcane
30.6901,75.2923,Black,26.1,83,July,Pulses
31.1181,75.12,Saline,39.1,63,July,Vegetables
31.2464,75.5547,Saline,25.0,39,July,Pulses
30.7491,75.8096,Arid,33.7,77,July,Wheat
31.2987,75.0868,Red,34.3,64,July,Wheat
31.5985,74.9683,Red,20.1,74,July,Pulses
31.5926,75.3724,Saline,21.3,84,August,Fruits
31.4623,74.8824,Forest,27.7,44,August,Sugarcane
30.7667,75.826,Arid,16.0,48,August,Millets
30.9955,74.8858,Black,24.6,71,August,Sugarcane
31.5533,74.8864,Forest,21.3,35,August,Maize
31.0718,75.7316,Saline,30.4,44,August,Pulses
31.1589,74.9742,Saline,24.4,81,August,Millets
30.8341,75.3389,Peaty,19.9,35,August,Sugarcane
31.2346,75.2042,Forest,19.5,38,August,Sugarcane
31.0348,75.7888,Black,34.6,83,August,Cotton
31.494,74.8474,Alluvial,35.9,61,August,Wheat
31.0548,75.0768,Alluvial,24.3,62,August,Pulses
30.8003,75.5393,Black,19.7,71,August,Millets
31.0352,74.8873,Saline,31.7,32,August,Fruits
31.5954,75.2509,Arid,16.4,35,August,Cotton
31.3048,75.3671,Peaty,33.7,62,August,Sugarcane
31.0755,75.1352,Saline,24.2,75,August,Pulses
30.9247,75.3752,Red,24.0,35,August,Millets
30.9495,74.9443,Peaty,19.7,37,August,Rice
30.8658,75.5059,Alluvial,29.2,74,August,Rice
31.115,75.5882,Peaty,21.1,52,August,Fruits
30.9145,75.8072,Black,38.2,33,August,Maize
31.072,75.3776,Laterite,22.4,68,August,Sugarcane
30.8026,75.3364,Black,20.7,72,August,Maize
30.8399,75.7016,Laterite,15.4,41,August,Wheat
31.1162,75.5611,Saline,23.7,71,September,Sugarcane
31.2366,75.1208,Laterite,31.5,32,September,Cotton
30.7951,75.1463,Peaty,25.5,87,September,Sugarcane
30.932,74.8464,Saline,37.3,83,September,Millets
31.3367,75.4868,Black,27.8,52,September,Rice
31.1654,75.2248,Laterite,32.2,37,September,Rice
30.7144,75.325,Peaty,23.6,81,September,Maize
31.5138,75.4298,Black,36.5,45,September,Maize
30.9249,75.1864,Alluvial,31.3,59,September,Maize
31.0318,75.6564,Arid,27.8,36,September,Pulses
31.072,75.8405,Peaty,23.8,57,September,Millets
30.8282,75.1402,Laterite,37.7,70,September,Pulses
30.9221,75.7282,Laterite,21.3,57,September,Millets
31.1207,75.3991,Laterite,29.4,55,September,Wheat
30.7822,75.2747,Red,30.2,64,September,Pulses
31.5294,74.9014,Forest,26.1,85,September,Vegetables
30.797,75.7345,Alluvial,32.5,36,September,Sugarcane
31.4187,75.5506,Peaty,32.6,64,September,Vegetables
30.6841,75.1629,Black,38.6,49,September,Sugarcane
31.4997,75.6655,Laterite,38.3,63,September,Rice
30.9713,75.278,Peaty,32.9,67,September,Cotton
31.1195,75.1463,Red,23.2,65,September,Wheat
31.0531,75.0705,Saline,26.0,86,September,Fruits
30.9303,74.9038,Black,23.3,47,September,Millets
31.1353,75.4062,Forest,29.6,72,September,Vegetables
30.809,75.0759,Forest,16.8,53,October,Millets
31.1233,75.1168,Black,28.0,68,October,Cotton
31.2241,74.9461,Forest,23.7,50,October,Rice
31.17,75.5166,Forest,28.5,57,October,Rice
30.89,75.5443,Saline,20.8,37,October,Fruits
31.1255,75.7991,Black,19.6,52,October,Millets
31.1242,75.0459,Laterite,36.2,69,October,Maize
31.5087,75.176,Alluvial,22.1,73,October,Fruits
31.2238,75.5545,Saline,34.5,83,October,Rice
30.8703,75.7429,Alluvial,20.3,90,October,Sugarcane
31.3204,75.1563,Saline,21.0,62,October,Cotton
31.3823,75.4753,Laterite,32.5,49,October,Millets
31.4131,75.1584,Arid,16.3,47,October,Vegetables
31.3688,75.516,Laterite,37.7,64,October,Fruits
31.096,74.8724,Saline,21.0,82,October,Cotton
31.5391,75.5322,Peaty,22.2,49,October,Cotton
31.052,74.9256,Laterite,33.9,86,October,Sugarcane
31.01,75.0229,Arid,15.1,64,October,Wheat
31.4417,75.7332,Saline,23.9,65,October,Fruits
31.2312,74.852,Arid,38.9,37,October,Sugarcane
30.9743,75.039,Alluvial,16.4,38,October,Wheat
30.9194,75.1499,Saline,19.4,57,October,Wheat
31.5996,75.4354,Arid,24.7,77,October,Vegetables
31.6118,75.2959,Saline,35.6,71,October,Rice
31.2303,75.0666,Forest,35.9,76,October,Fruits
31.3368,75.7165,Forest,37.6,73,November,Wheat
30.9537,74.9978,Peaty,26.2,76,November,Sugarcane
31.4262,75.2404,Saline,33.7,59,November,Rice
31.1541,74.8512,Alluvial,26.2,35,November,Millets
30.9248,75.092,Red,23.1,88,November,Fruits
31.035,75.4705,Red,27.2,72,November,Wheat
30.7451,75.5028,Alluvial,29.1,46,November,Rice
30.7905,75.7599,Forest,37.3,79,November,Cotton
30.7734,75.0466,Alluvial,34.8,83,November,Sugarcane
31.6195,75.645,Laterite,19.7,64,November,Vegetables
30.7267,75.1157,Arid,22.0,59,November,Cotton
31.1046,75.3892,Saline,33.8,80,November,Sugarcane
30.8988,74.9579,Peaty,29.2,42,November,Cotton
30.6648,74.8596,Laterite,15.6,36,November,Vegetables
31.2389,75.5378,Forest,33.5,80,November,Fruits
31.1216,75.2299,Forest,34.1,79,November,Vegetables
31.1233,74.9263,Alluvial,23.2,64,November,Wheat
30.9767,75.3983,Saline,37.4,58,November,Wheat
31.4071,75.2198,Alluvial,33.1,34,November,Sugarcane
31.1702,75.5357,Alluvial,29.3,88,November,Sugarcane
31.1407,75.7119,Black,30.0,78,November,Rice
30.7277,75.4082,Laterite,20.4,60,November,Pulses
30.864,75.8048,Laterite,39.5,33,November,Millets
31.1494,75.2837,Arid,38.8,37,November,Wheat
31.2581,74.8729,Laterite,27.6,56,November,Cotton
30.8297,75.392,Laterite,34.9,51,December,Vegetables
31.1659,75.6431,Alluvial,15.3,48,December,Wheat
31.5627,74.9603,Saline,21.2,50,December,Rice
30.9648,75.3201,Forest,26.1,83,December,Maize
30.7816,74.9859,Saline,15.6,61,December,Fruits
31.0547,75.2602,Peaty,27.6,62,December,Maize
30.8898,74.8644,Black,27.0,41,December,Millets
31.2549,75.0806,Peaty,37.1,65,December,Rice
31.5621,75.4532,Saline,31.7,88,December,Maize
30.8765,75.6031,Saline,39.1,53,December,Fruits
31.1952,75.0027,Red,15.8,87,December,Fruits
30.9882,75.5613,Red,23.5,75,December,Rice
31.2982,75.1318,Alluvial,32.2,57,December,Wheat
30.6556,75.4425,Forest,39.9,82,December,Maize
31.4559,75.6562,Alluvial,31.6,88,December,Sugarcane
31.0355,75.3042,Alluvial,33.8,63,December,Sugarcane
31.2354,75.8118,Red,18.7,30,December,Fruits
30.7484,74.9225,Red,22.4,72,December,Pulses
30.9736,75.6627,Alluvial,26.2,52,December,Maize
31.1185,75.125,Peaty,32.2,33,December,Maize
31.2599,75.034,Black,38.1,59,December,Wheat
30.7067,74.9121,Peaty,16.1,40,December,Millets
31.1843,75.6413,Laterite,20.0,71,December,Fruits
31.1231,75.1829,Laterite,22.9,76,December,Fruits
31.0523,75.7128,Black,39.4,33,December,Fruits
12.7585,80.366,Black,30.7,62,January,Cotton
12.9081,79.8286,Saline,39.9,71,January,Sugarcane
12.9689,80.2174,Red,39.7,59,January,Millets
13.2027,80.6915,Saline,31.7,64,January,Maize
13.4509,80.5525,Peaty,21.4,75,January,Maize
12.9487,80.4187,Arid,16.0,34,January,Fruits
13.2261,80.4358,Red,20.5,37,January,Millets
13.055,80.1017,Forest,15.5,50,January,Maize
12.6342,79.8909,Alluvial,31.2,32,January,Cotton
13.1814,80.5574,Laterite,34.3,71,January,Cotton
12.8516,80.7218,Laterite,26.4,35,January,Maize
13.23,80.7244,Alluvial,20.2,79,January,Wheat
13.3223,80.5299,Peaty,18.4,54,January,Fruits
13.4449,80.636,Saline,31.2,35,January,Wheat
13.2576,80.2772,Arid,35.9,63,January,Sugarcane
12.8738,80.6076,Laterite,37.6,55,January,Pulses
13.3179,79.7899,Red,29.9,30,January,Millets
12.6131,80.6551,Saline,18.9,37,January,Sugarcane
13.3706,80.2449,Red,34.0,76,January,Millets
13.2358,80.4582,Saline,32.9,31,January,Vegetables
12.884,79.8034,Arid,35.9,64,January,Cotton
12.8888,80.5652,Laterite,33.9,40,January,Pulses
12.8792,79.7849,Alluvial,18.7,39,January,Wheat
13.0208,79.9931,Alluvial,17.4,39,January,Wheat
12.634,79.8202,Forest,27.7,40,January,Vegetables
13.1604,80.1693,Saline,21.2,60,February,Rice
13.0643,80.4629,Laterite,16.6,70,February,Rice
12.6725,79.7788,Peaty,26.9,40,February,Millets
12.7547,79.9304,Alluvial,29.7,59,February,Maize
13.1588,80.3673,Red,28.3,32,February,Millets
13.0916,80.7244,Alluvial,25.8,52,February,Millets
13.1683,80.6507,Black,31.4,75,February,Cotton
13.4399,80.341,Forest,15.4,64,February,Fruits
13.3406,80.3104,Arid,33.1,61,February,Pulses
13.1519,79.8176,Alluvial,20.8,87,February,Wheat
12.7627,80.3792,Red,35.1,47,February,Cotton
12.9735,80.497,Black,25.8,88,February,Vegetables
13.2586,80.7432,Alluvial,23.7,47,February,Wheat
12.5874,80.6879,Black,26.0,78,February,Sugarcane
12.9073,80.3903,Alluvial,24.5,37,February,Wheat
13.0064,80.158,Laterite,28.3,78,February,Pulses
12.6501,79.8755,Saline,23.6,66,February,Sugarcane
13.0533,79.9112,Laterite,29.0,45,February,Fruits
13.2179,80.0368,Black,22.0,44,February,Millets
12.7892,80.1336,Red,29.0,57,February,Sugarcane
13.0367,79.8455,Saline,36.6,38,February,Fruits
13.4351,79.9195,Black,35.1,66,February,Cotton
13.5076,80.6615,Forest,23.6,62,February,Sugarcane
12.6928,79.8275,Forest,29.4,58,February,Fruits
12.8323,80.393,Arid,20.7,68,February,Sugarcane
13.1137,80.4082,Black,33.6,70,March,Cotton
13.1161,80.0522,Laterite,27.2,81,March,Wheat
13.2981,80.0813,Laterite,20.0,71,March,Millets
13.5664,80.222,Peaty,29.0,86,March,Sugarcane
13.3436,80.7249,Alluvial,33.5,86,March,Sugarcane
13.3464,80.323,Arid,18.6,80,March,Millets
13.1791,80.5747,Black,38.9,76,March,Cotton
13.1891,80.3169,Saline,20.0,46,March,Maize
13.0097,80.4111,Peaty,20.3,75,March,Maize
13.2877,79.9095,Red,26.0,48,March,Millets
12.7973,80.7239,Black,15.4,45,March,Pulses
12.7453,80.1696,Red,23.9,37,March,Millets
13.0733,80.6505,Forest,30.7,89,March,Rice
13.5327,79.9669,Black,22.4,36,March,Millets
13.2903,80.531,Laterite,31.4,74,March,Millets
13.128,80.3187,Red,29.3,55,March,Pulses
12.9474,80.2339,Red,23.2,81,March,Rice
12.7118,80.4036,Arid,30.4,70,March,Millets
13.0707,80.6685,Alluvial,33.3,32,March,Pulses
13.4347,80.3982,Black,18.9,66,March,Fruits
13.4664,80.0274,Forest,26.2,50,March,Rice
13.4078,80.3138,Saline,34.9,47,March,Rice
12.7084,80.1059,Laterite,24.9,84,March,Sugarcane
13.1486,79.9931,Black,33.5,30,March,Millets
13.4959,80.0741,Laterite,26.7,66,March,Wheat
13.4075,80.2161,Alluvial,18.6,48,April,Rice
13.4736,80.2077,Alluvial,24.7,33,April,Fruits
13.5623,80.6701,Laterite,30.2,80,April,Pulses
12.98,80.0112,Arid,36.1,71,April,Wheat
13.2392,79.8379,Alluvial,21.0,44,April,Wheat
13.3213,79.8603,Saline,29.3,40,April,Cotton
13.1224,80.2687,Saline,17.9,87,April,Wheat
13.0733,79.9444,Laterite,26.0,45,April,Vegetables
12.6399,79.8002,Saline,30.4,80,April,Fruits
13.2504,80.4098,Peaty,33.6,89,April,Sugarcane
13.1759,80.2618,Red,35.3,45,April,Fruits
12.6722,80.741,Black,27.9,82,April,Pulses
12.7888,80.7676,Black,35.8,63,April,Cotton
13.0469,80.5932,Alluvial,36.8,33,April,Sugarcane
13.1585,80.3527,Red,34.8,40,April,Millets
13.4759,80.5,Forest,34.5,78,April,Millets
13.2905,80.4323,Saline,25.0,65,April,Rice
13.1083,79.9774,Peaty,18.3,33,April,Cotton
12.8356,80.7017,Black,22.4,75,April,Fruits
12.8226,80.2655,Saline,28.7,51,April,Pulses
13.1749,79.8841,Black,26.9,84,April,Pulses
12.6323,80.5862,Red,18.8,45,April,Wheat
12.9786,80.6597,Forest,38.1,31,April,Wheat
12.7736,79.9748,Red,25.8,78,April,Pulses
12.9801,80.7195,Alluvial,33.9,33,April,Fruits
13.2987,80.327,Forest,25.7,46,May,Vegetables
12.8055,80.1393,Arid,27.4,82,May,Cotton
12.9719,80.6024,Laterite,38.9,49,May,Maize
12.9016,79.8428,Peaty,38.3,42,May,Maize
12.6088,80.6154,Black,29.3,58,May,Millets
12.7291,80.3772,Peaty,27.0,34,May,Pulses
12.8216,80.0837,Black,30.3,31,May,Millets
12.6128,80.467,Laterite,18.1,83,May,Sugarcane
12.9338,80.1037,Forest,38.3,59,May,Sugarcane
13.217,80.311,Forest,35.2,42,May,Millets
13.5015,80.504,Red,39.8,39,May,Millets
13.1389,80.2748,Black,22.6,43,May,Millets
12.6885,80.227,Laterite,37.5,31,May,Wheat
12.8884,80.1021,Forest,26.0,32,May,Vegetables
12.6923,80.2306,Red,32.0,72,May,Wheat
13.5785,80.626,Laterite,26.4,84,May,Rice
13.1192,80.6849,Peaty,26.0,48,May,Vegetables
13.2219,80.0229,Saline,25.4,38,May,Millets
12.7902,80.5928,Forest,33.6,45,May,Cotton
13.2337,80.0209,Peaty,30.3,42,May,Vegetables
12.6079,80.0386,Forest,35.3,61,May,Rice
13.4848,80.1512,Red,15.4,52,May,Rice
12.8142,80.0597,Red,35.4,69,May,Maize
13.1879,80.533,Laterite,36.2,52,May,Rice
13.2413,80.0261,Peaty,29.1,74,May,Sugarcane
13.4301,79.9887,Black,24.0,35,June,Millets
12.9071,80.733,Peaty,31.3,30,June,Maize
13.4773,79.9011,Black,16.2,75,June,Wheat
13.5469,79.9412,Alluvial,32.8,36,June,Fruits
13.4256,80.2699,Arid,21.0,67,June,Millets
13.3104,80.2783,Arid,31.2,72,June,Pulses
12.6467,79.9097,Saline,23.5,59,June,Fruits
12.6021,80.3158,Alluvial,23.6,69,June,Rice
12.8143,79.8264,Arid,29.2,43,June,Millets
12.8448,79.8931,Arid,32.4,61,June,Wheat
12.8157,79.9606,Saline,32.6,74,June,Maize
13.5499,80.423,Red,29.2,59,June,Maize
12.6043,79.8257,Arid,17.3,37,June,Sugarcane
13.2283,80.2189,Saline,16.3,53,June,Sugarcane
12.8367,80.6104,Black,39.5,47,June,Millets
13.1652,80.5749,Red,21.0,34,June,Millets
12.8505,79.8485,Arid,22.7,74,June,Maize
12.6305,80.4638,Black,39.7,89,June,Cotton
13.5142,79.8749,Laterite,30.8,51,June,Sugarcane
12.9768,80.3118,Arid,20.1,51,June,Cotton
12.7117,79.8166,Black,26.6,50,June,Cotton
13.0631,80.376,Peaty,23.7,69,June,Cotton
13.0478,80.4678,Arid,15.1,49,June,Millets
12.988,79.9069,Red,21.0,68,June,Vegetables
12.7929,80.6785,Peaty,23.9,80,June,Pulses
12.7543,80.3445,Peaty,34.3,64,July,Maize
12.8544,80.1607,Alluvial,31.0,41,July,Millets
13.0966,79.8849,Forest,23.3,51,July,Maize
12.6676,79.7925,Saline,39.2,65,July,Maize
13.3939,80.4996,Forest,33.1,32,July,Maize
13.2446,80.6318,Red,24.8,30,July,Millets
12.9142,80.2904,Forest,17.5,82,July,Maize
13.5088,80.4962,Black,28.3,67,July,Fruits
12.9637,80.0463,Red,26.9,56,July,Maize
13.2136,80.3328,Laterite,35.6,42,July,Vegetables
12.9516,79.8409,Saline,39.6,51,July,Rice
12.9606,80.4826,Black,20.0,40,July,Millets
13.4916,79.7906,Forest,32.2,85,July,Wheat
13.32,80.0488,Laterite,36.1,55,July,Sugarcane
13.4159,80.0318,Black,16.7,88,July,Maize
13.4061,80.6507,Red,16.4,77,July,Rice
13.5089,80.768,Forest,15.1,50,July,Cotton
13.1609,80.3475,Red,35.2,32,July,Sugarcane
13.0512,80.6793,Black,25.2,32,July,Millets
13.4333,80.4073,Arid,33.1,54,July,Pulses
13.2846,80.1674,Forest,19.8,35,July,Maize
13.556,80.4106,Peaty,26.6,55,July,Fruits
12.8923,80.5609,Laterite,24.7,45,July,Rice
12.9919,79.949,Peaty,31.8,55,July,Cotton
12.6656,80.0412,Saline,31.9,56,July,Pulses
13.2595,80.3198,Red,38.5,85,August,Millets
12.9715,80.2601,Red,39.6,55,August,Pulses
13.5078,80.5355,Peaty,20.4,83,August,Wheat
12.6667,80.1294,Peaty,36.4,69,August,Maize
13.3426,80.0783,Black,32.6,40,August,Millets
13.2333,80.1273,Laterite,23.7,84,August,Wheat
13.1814,80.5731,Red,20.7,44,August,Millets
13.3173,80.1126,Alluvial,15.5,53,August,Fruits
12.6447,80.5245,Laterite,27.1,53,August,Pulses
13.4671,79.9827,Arid,24.7,82,August,Maize
13.2968,79.8856,Arid,32.8,77,August,Maize
12.6343,80.4184,Alluvial,15.8,54,August,Sugarcane
13.0517,80.0158,Red,34.9,43,August,Millets
13.1083,80.1313,Laterite,15.1,53,August,Wheat
13.5418,80.2835,Forest,35.1,56,August,Pulses
13.375,79.7868,Peaty,20.8,71,August,Millets
12.6062,80.1356,Forest,34.0,31,August,Millets
13.0346,79.94,Black,24.4,88,August,Sugarcane
12.8699,80.2229,Black,38.4,67,August,Cotton
13.4032,80.1196,Laterite,32.7,67,August,Millets
13.1969,80.6958,Black,24.7,85,August,Sugarcane
12.8209,79.9476,Laterite,24.2,61,August,Cotton
13.0488,80.7288,Red,22.9,48,August,Millets
13.4193,80.0026,Red,35.0,89,August,Rice
13.5574,79.8462,Alluvial,15.8,88,August,Sugarcane
13.4208,79.8759,Alluvial,29.1,79,September,Rice
13.2665,80.1845,Arid,22.8,87,September,Vegetables
13.4968,80.2428,Arid,15.1,69,September,Pulses
13.5384,80.0632,Black,18.9,76,September,Fruits
12.7851,79.9703,Arid,38.7,30,September,Sugarcane
13.2517,80.7347,Peaty,22.0,44,September,Pulses
12.9706,80.2846,Peaty,31.2,32,September,Wheat
13.3993,80.1278,Laterite,38.2,82,September,Millets
13.4334,80.4011,Forest,20.6,34,September,Maize
13.5486,80.4642,Black,35.9,83,September,Cotton
13.0338,80.0023,Saline,15.3,67,September,Fruits
12.8199,80.005,Alluvial,18.8,53,September,Rice
13.4672,80.1795,Black,17.3,51,September,Maize
13.1468,80.4763,Alluvial,33.4,61,September,Maize
12.6741,80.0772,Saline,28.6,82,September,Maize
13.228,80.6591,Alluvial,18.2,85,September,Wheat
